Den Status Ihrer Bestellung jederzeit prüfen,Check the status of your order at any time
Adress- und Kundendaten verwalten,Manage address and customer data
Übersicht all Ihrer Bestellungen,Overview of all your orders 
Lassen Sie sich von unserer exklusiven Cashmere Auswahl inspirieren. Wir wünschen Ihnen viel Spass beim Einkaufen!,Be inspired by our exclusive cashmere selection. We hope you enjoy shopping with us!
zum Kundenkonto,To the customer account
Ihr Passwort wurde geändert,Your password has been changed
Sie haben das Passwort in Ihrem Kundenkonto erfolgreich geändert.,You have successfully changed the password in your customer account. 
Ihre E-Mail-Adresse wurde geändert,Your e-mail address has been changed
Sie haben die E-Mail-Adresse in Ihrem Kundenkonto erfolgreich geändert.,You have successfully changed the e-mail-address in your customer account. 
"Im Interesse Ihres persönlichen Datenschutzes empfehlen wir Ihnen, das Passwort sicher aufzubewahren und nicht an Dritte weiterzugeben.","In the interest of your personal data protection, we recommend that you keep the password safe and do not pass it on to third parties."
"Im Interesse Ihres persönlichen Datenschutzes empfehlen wir Ihnen, Ihre Logindaten sicher aufzubewahren und nicht an Dritte weiterzugeben.","In the interest of your personal data protection, we recommend that you keep your login date safe and do not pass it on to third parties."
Ihre E-Mail-Adresse und Passwort wurden geändert,Your e-mail address and password has been changed
Sie haben sowohl die E-Mail-Adresse als auch das Passwort in Ihrem Kundenkonto erfolgreich geändert.,You have successfully changed the email address and password in your customer account.
Passwort zurücksetzen,Reset password
"Sie haben ein neues Passwort für Ihr FTC Cashmere Kundenkonto angefordert. Klicken Sie auf den nachfolgenden Link, um Ihr Passwort zurück zu setzen.",You have requested a new password for your FTC Cashmere customer account. Click on the following link to reset your password.
Dieser Link ist aus Sicherheitsgründen nur während 24h gültig.,"For security reasons, this link is only valid for 24 hours. "
Geschenkgutschein erhalten,Received a gift voucher
Geschenkgutschein laüft bald ab,Gift voucher expires soon
%sender_name purchased a,%sender_name purchased a
gift card for you at %store_name,gift card for you at %store_name
You have been bought a,You have been bought a
gift card for %customer_name,gift card for %customer_name
Please find below message from %sender_name,Please find below message from %sender_name
Please use the following gift card code at %store_name:,Please use the following gift card code at %store_name:
Look forward to seeing you at our store.,Look forward to seeing you at our store.
Your gift card expires in,Your gift card expires in
days,days
Ihr Geschenkgutschein wurde zugestellt,Your gift voucher has been delivered
You purchased a gift card for,You purchased a gift card for
Your message:,Your message:
Ihre Bestellung #%increment_id  – fehlende Vorkassezahlung,Your order #%increment_id - missing prepayment
Wir beziehen uns auf Ihre Bestellung vom,We refer to your order from 
Sie haben die Zahlungsart Vorkasse gewählt.,You have chosen the payment method prepayment. 
Leider haben wir Ihre Überweisung bis heute noch nicht erhalten.,"Unfortunately, we have not received your bank transfer yet."
Besten Dank für Ihre Überweisung.,Thank you for your transfer.
"Wir bitten Sie den unten aufgeführten Gesamtbetrag innerhalb von 3 Tagen auf folgendes Konto nachzuzahlen, ansonsten müssen wir die Bestellung aufgrund Nichtbezahlung stornieren, damit der Artikel wieder freigegeben wird.","We kindly ask you to pay the total amount within 3 days to the following account, otherwise we have to cancel the order due to non-payment so that the item can be released again."
Konto-Nr.,Account no.
Ihre Bestellung #%increment_id war nicht erfolgreich,Your order #%increment_id was not successful
"Hierfür könnten viele Fehler in Frage kommen, meistens betrifft es aber die nachfolgenden Punkte:","This could be due to many errors, but mostly it concerns the following points:"
Falsche Kreditkartennummer oder CVV-Nr. (Kartenprüfnummer - dreistelliger Code auf der Rückseite Ihrer Karte eingegeben),Incorrect credit card number or CVC number (card verification code - three-digit code which you´ll find on the back of your card)
Sonstige falsche Angaben wie Kreditkarteninhaber oder Ablaufdatum eingegeben,Other incorrect information such as credit card holder or expiry date 
Kein Secure Code vorhanden,No existing secure code 
Gültigkeit der Kreditkarte abgelaufen,Credit card validity expired
Kreditkartenlimit überschritten,Credit card limit exceeded
Keine akzeptierte Kreditkarte gemäss untenstehender Auflistung,No accepted credit card as listed below
"Bitte versuchen Sie es noch einmal und geben Sie die Angaben, sofern die Kreditkarte noch gültig und ein genügendes Kreditkartenlimit vorhanden ist, nochmals vorsichtig ein. Falls die Angaben stimmen, die Bestellung aus anderen, unerklärlichen Gründen nicht möglich ist, bitten wir Sie die Zahlungsart zu wechseln.","Please try again and enter carefully the details, if the credit card is still valid and the credit card limit is sufficient. If the information was correct but the order is still not possible for other, inexplicable reasons, we kindly ask you to change the payment method. "
"Wir akzeptieren Kreditkarten der Anbieter Visa, Master Card und American Express nur mit einem zusätzlichem 3D-Secure Code. Durch dieses SSL-Authentifizierungsverfahren sind Ihre Kreditkartendaten bei der Übertragung geschützt. Wir bitten Sie um Verständnis, dass wir auch in Ihrem Interesse Kreditkarten ohne dem sicheren Verschlüsselungsverfahren nicht annehmen können. Bitte wählen Sie daher eine andere Zahlungsart aus.","We accept credit cards from Visa, Master Card and American Express only with an additional 3D-Secure Code. This SSL authentication procedure protects your credit card data during transmission. For safety reasons, we kindly ask for your understanding that we cannot accept credit cards without the secure encryption procedure. Therefore, please select another payment method. "
"Bitte beachten Sie, dass bei dieser Zahlungsart der Anbieter PayPal im Hintergrund entsprechende Adress- und Bonitätsprüfung durchführt.","Please note that with this payment method, the payment service provider PayPal carries out the address and creditworthiness checks in the background. "
"Sollte die Überprüfung negativ ausfallen, so bitten wir Sie eine andere Zahlungsart anzuwenden. Weitere Informationen finden Sie unter","If the verification is negative, we kindly ask you to choose another payment method. You can find further information about PayPal at "
Hinweis:,Note:
"Hierbei handelt es sich um einen komplexen automatisierten Prozess. FTC Cashmere keinen Einfluss auf diese Zahlungsart hat. Daher hat unser Kundenservice nicht die Möglichkeit, die angebotenen Zahlungsarten zu ändern.","This is a complex automated process. FTC Cashmere does not have any influence on this payment method. Therefore, our customer service does not have the ability to change the payment methods offered."
Kauf auf Rechnung,Purchase on account
Kreditkarte,Credit card
DE 814442953,DE 814442953
"Bitte beachten Sie, dass bei dieser Zahlungsart der Anbieter Klarna im Hintergrund entsprechende Adress- und Bonitätsprüfung durchführt.","Please note that with this payment method, the payment service provider Klarna carries out the address and creditworthiness checks in the background. "
