Your %store_name order confirmation,Din %store_name ordrebekræftelse
40476 Düsseldorf,40476 Düsseldorf
Deutschland,Deutschland
UMSATZSTEUER ID NUMMER,OMSÆTNINGSAFGIFT ID-NUMMER
Hinweis: Dies ist nicht die Rücksende-Adresse. Retouren werden hier nicht angenommen.,Bemærk: Dette er ikke returadressen. Returneringer accepteres ikke her.
CASHMERE WORLD SHOP GMBH,CASHMERE WORLD SHOP GMBH
Versendete Artikel,Varer afsendt
Bitte bestätigen Sie Ihre Anmeldung,Bekræft venligst din registrering
"Vielen Dank für Ihre Anmeldung. Um die Registrierung Ihres Kundenkontos erfolgreich abzuschliessen, klicken Sie bitte auf die Schaltfläche weiter unten.",Tak for din tilmelding. For at gennemføre registreringen af din kundekonto skal du klikke på knappen nedenfor for at fuldføre registreringen.
Kundenkonto-Anmeldung bestätigen,Bekræft registrering af kundekonto
Erst nach dieser Bestätigung wird Ihr Kundenkonto aktiviert.,Først efter denne bekræftelse bliver din kundekonto aktiveret.
"Sollte Ihre E-Mail-Adresse ohne Ihr Wissen für ein FTC Cashmere Kundenkonto eingetragen worden sein, bitten wir Sie, diese E-Mail zu ignorieren.","Hvis din e-mailadresse er blevet indtastet til en FTC Cashmere-kundekonto uden din viden, bedes du ignorere denne e-mail."
"Datenschutz ist bei FTC Cashmere ein sehr wichtiges Thema. Für die Registrierung eines Kundenkontos verwenden wir das sogenannte Double-opt-in-Verfahren. Mit dem doppeltem Bestätigungsverfahren bestätigen Sie nochmals explizit Ihre Anmeldung, indem Sie die oben aufgeführte Schaltfläche anklicken. Wir möchten somit sicherstellen, dass Ihre E-Mail-Adresse nicht von Dritten eingetragen wurde.","Databeskyttelse er et meget vigtigt emne hos FTC Cashmere. Ved registrering af en kundekonto anvender vi den såkaldte dobbeltopt-in-procedure. Ved dobbeltopt-in-proceduren bekræfter du udtrykkeligt din registrering igen ved at klikke på knappen ovenfor. På denne måde ønsker vi at sikre, at din e-mailadresse ikke er blevet indtastet af tredjeparter."
Sie haben sich erfolgreich bei FTC Cashmere registriert.,Du har registreret dig hos FTC Cashmere.
"Um sich in Ihrem Kundenkonto anzumelden, verwenden Sie bitte Ihre registrierten Anmeldedaten auf ""Mein Konto""- oder während des Check-Outs. Haben Sie Ihr Passwort vergessen, dann klicken Sie  <a href=""%reset_url"">hier</a>.","For at logge ind på din kundekonto skal du bruge dine registrerede loginoplysninger på ""Min konto"" - eller under checkout. Hvis du har glemt din adgangskode, skal du klikke på <a href=""%reset_url"">her</a>."
Freuen Sie sich auf diese Vorteile:,Se frem til disse fordele:
Schnellerer Bezahlvorgang,Hurtigere betalingsproces
Den Status Ihrer Bestellung jederzeit prüfen,Tjek status for din ordre når som helst
Adress- und Kundendaten verwalten,Administrer adresse- og kundedata
Übersicht all Ihrer Bestellungen,Oversigt over alle dine ordrer
Lassen Sie sich von unserer exklusiven Cashmere Auswahl inspirieren. Wir wünschen Ihnen viel Spass beim Einkaufen!,"Lad dig inspirere af vores eksklusive udvalg af cashmere. Vi håber, at du nyder at handle hos os!"
zum Kundenkonto,til kundekontoen
Ihr Passwort wurde geändert,Din adgangskode er blevet ændret
Sie haben das Passwort in Ihrem Kundenkonto erfolgreich geändert.,Du har ændret adgangskoden på din kundekonto.
Ihre E-Mail-Adresse wurde geändert,Din e-mailadresse er blevet ændret
Sie haben die E-Mail-Adresse in Ihrem Kundenkonto erfolgreich geändert.,Du har ændret e-mailadressen på din kundekonto med succes.
"Im Interesse Ihres persönlichen Datenschutzes empfehlen wir Ihnen, das Passwort sicher aufzubewahren und nicht an Dritte weiterzugeben.","Af hensyn til beskyttelsen af dine personlige oplysninger anbefaler vi, at du opbevarer din adgangskode sikkert og ikke videregiver den til tredjeparter."
"Im Interesse Ihres persönlichen Datenschutzes empfehlen wir Ihnen, Ihre Logindaten sicher aufzubewahren und nicht an Dritte weiterzugeben.","Af hensyn til dit personlige privatliv anbefaler vi, at du opbevarer dine loginoplysninger sikkert og ikke deler dem med tredjeparter."
Ihre E-Mail-Adresse und Passwort wurden geändert,Din e-mailadresse og adgangskode er blevet ændret
Sie haben sowohl die E-Mail-Adresse als auch das Passwort in Ihrem Kundenkonto erfolgreich geändert.,Du har ændret både e-mail-adresse og adgangskode på din kundekonto med succes.
Passwort zurücksetzen,nulstille adgangskode
"Sie haben ein neues Passwort für Ihr FTC Cashmere Kundenkonto angefordert. Klicken Sie auf den nachfolgenden Link, um Ihr Passwort zurück zu setzen.",Du har anmodet om en ny adgangskode til din FTC Cashmere-konto. Klik på linket nedenfor for at nulstille din adgangskode.
Dieser Link ist aus Sicherheitsgründen nur während 24h gültig.,Af sikkerhedsmæssige årsager er dette link kun gyldigt i 24 timer.
Geschenkgutschein erhalten,Modtag gavekort
Geschenkgutschein laüft bald ab,Gavekortet udløber snart
%sender_name purchased a,%sender_navn købte en
gift card for you at %store_name,Gavekort til dig hos %store_name
You have been bought a,Du er blevet købt en
gift card for %customer_name,gavekort til %customer_name
Please find below message from %sender_name,Nedenstående meddelelse fra %sender_name
Please use the following gift card code at %store_name:,Brug venligst følgende gavekortkode på %store_name:
Look forward to seeing you at our store.,Vi glæder os til at se dig i vores butik.
Your gift card expires in,Dit gavekort udløber om
days,dage
Ihr Geschenkgutschein wurde zugestellt,Du har købt et gavekort til
You purchased a gift card for,Du har købt et gavekort til
Your message:,Din besked:
Ihre Bestellung #%increment_id  – fehlende Vorkassezahlung,Din ordre #%increment_id - manglende forudbetaling
Wir beziehen uns auf Ihre Bestellung vom,Vi henviser til din ordre fra
Sie haben die Zahlungsart Vorkasse gewählt.,Du har valgt betalingsmetoden forudbetaling.
Leider haben wir Ihre Überweisung bis heute noch nicht erhalten.,Vi har desværre endnu ikke modtaget din overførsel.
Besten Dank für Ihre Überweisung.,Tak for din henvisning.
"Wir bitten Sie den unten aufgeführten Gesamtbetrag innerhalb von 3 Tagen auf folgendes Konto nachzuzahlen, ansonsten müssen wir die Bestellung aufgrund Nichtbezahlung stornieren, damit der Artikel wieder freigegeben wird.","Vi beder dig betale det samlede beløb, der er anført nedenfor, inden for 3 dage til følgende konto, ellers må vi annullere ordren på grund af manglende betaling, så varen frigives igen."
Konto-Nr.,Konto nr.
Ihre Bestellung #%increment_id war nicht erfolgreich,Din ordre #%increment_id blev ikke gennemført
"Hierfür könnten viele Fehler in Frage kommen, meistens betrifft es aber die nachfolgenden Punkte:","Dette kan skyldes mange fejl, men det drejer sig for det meste om følgende punkter:"
Falsche Kreditkartennummer oder CVV-Nr. (Kartenprüfnummer - dreistelliger Code auf der Rückseite Ihrer Karte eingegeben),Forkert kreditkortnummer eller CVV-nr. (kortbekræftelsesnummer - en trecifret kode på bagsiden af dit kort)
Sonstige falsche Angaben wie Kreditkarteninhaber oder Ablaufdatum eingegeben,"Indtastede andre forkerte oplysninger, f.eks. kreditkortindehaver eller udløbsdato"
Kein Secure Code vorhanden,Ingen sikker kode tilgængelig
Gültigkeit der Kreditkarte abgelaufen,Kreditkortet er udløbet
Kreditkartenlimit überschritten,overskridelse af kreditkortgrænsen
Keine akzeptierte Kreditkarte gemäss untenstehender Auflistung,Ingen kreditkort accepteres i henhold til nedenstående liste
"Bitte versuchen Sie es noch einmal und geben Sie die Angaben, sofern die Kreditkarte noch gültig und ein genügendes Kreditkartenlimit vorhanden ist, nochmals vorsichtig ein. Falls die Angaben stimmen, die Bestellung aus anderen, unerklärlichen Gründen nicht möglich ist, bitten wir Sie die Zahlungsart zu wechseln.","Prøv venligst igen og indtast oplysningerne omhyggeligt igen, forudsat at kreditkortet stadig er gyldigt, og at der er en tilstrækkelig kreditkortgrænse. Hvis oplysningerne er korrekte, men ordren ikke er mulig af andre uforklarlige årsager, beder vi dig om at ændre betalingsmetoden."
"Wir akzeptieren Kreditkarten der Anbieter Visa, Master Card und American Express nur mit einem zusätzlichem 3D-Secure Code. Durch dieses SSL-Authentifizierungsverfahren sind Ihre Kreditkartendaten bei der Übertragung geschützt. Wir bitten Sie um Verständnis, dass wir auch in Ihrem Interesse Kreditkarten ohne dem sicheren Verschlüsselungsverfahren nicht annehmen können. Bitte wählen Sie daher eine andere Zahlungsart aus.","Vi accepterer kun kreditkort fra udbyderne Visa, Master Card og American Express med en ekstra 3D-Secure-kode. Denne SSL-godkendelsesprocedure beskytter dine kreditkortdata under overførslen. Vi beder om din forståelse for, at vi ikke kan acceptere kreditkort uden den sikre krypteringsprocedure, hvilket også er i din interesse. Vælg derfor venligst en anden betalingsmetode."
"Bitte beachten Sie, dass bei dieser Zahlungsart der Anbieter PayPal im Hintergrund entsprechende Adress- und Bonitätsprüfung durchführt.","Bemærk venligst, at udbyderen PayPal med denne betalingsmetode udfører tilsvarende adresse- og kreditkontrol i baggrunden."
"Sollte die Überprüfung negativ ausfallen, so bitten wir Sie eine andere Zahlungsart anzuwenden. Weitere Informationen finden Sie unter","Hvis bekræftelsen er negativ, beder vi dig om at bruge en anden betalingsmetode. Du kan finde flere oplysninger under"
Hinweis:,Bemærk:
"Hierbei handelt es sich um einen komplexen automatisierten Prozess. FTC Cashmere keinen Einfluss auf diese Zahlungsart hat. Daher hat unser Kundenservice nicht die Möglichkeit, die angebotenen Zahlungsarten zu ändern.","Dette er en kompleks automatiseret proces. FTC Cashmere har ingen kontrol over denne betalingsmetode. Derfor har vores kundeservice ikke mulighed for at ændre de betalingsmetoder, der tilbydes."
Kauf auf Rechnung,køb på regning
Kreditkarte,Kreditkort
DE 814442953,DE 814442953
"Bitte beachten Sie, dass bei dieser Zahlungsart der Anbieter Klarna im Hintergrund entsprechende Adress- und Bonitätsprüfung durchführt.","Bemærk venligst, at udbyderen Klarna med denne betalingsmetode udfører tilsvarende adresse- og kreditkontrol i baggrunden."
