Filters,Filter
Return request has been received.,Rücksendungsanfrage erhalten.
"You will be notified when your request is reviewed.","Sie werden benachrichtigt, wenn Ihre Anfrage überprüft wurde."
Your Return request has been approved.,Ihre Rücksendungsanfrage wurde bestätigt
Print RMA Packing Slip,Rücksendeetikett drucken
Confirm Shipping,Rücksendung bestätigen
Confirm Shipping,Versand bestätigen
No description available.,Keine Beschreibung verfügbar.
No details available.,Keine Details verfügbar.
Products in categories,Produkte in Kategorien
Hot Searches,Beliebte Suchbegriffe
Ship here,Adresse verwenden
The shipping method is missing. Select the shipping method and try again.,Die Versandart fehlt. Wählen Sie die Versandmethode aus und versuchen Sie es erneut.
Notify me,Benachrichtigen
Insert your email,Ihre E-Mail-Adresse
"Apply Gift Card Code","Geschenkgutschein"
"Enter your Code","Code eingeben"
"Check Status","Code prüfen"
"Add Code","Hinzufügen"
"Wrong Gift Card code.","Der eingegebene Code ist leider nicht gültig."
"This Gift Code already exists.","Dieser Code ist leider nicht gültig."
"Gift Card has been successfully removed","Eingegebener Code erfolgreich entfernt."
"Specified Gift Card for current user is not found.","Der eingegebene Code stimmt nicht mit dem aktuellen Benutzer überein."
"Cannot remove gift card.","Code kann nicht entfernt werden."
"Adding","Wird hinzugefügt"
"Adding...","Wird hinzugefügt"
"sold out","ausverkauft"
"Sold out","Ausverkauft"
"Sorry, this item is currently not available. <br>We will inform you by e-mail as soon as your desired item is available again.","Dieser Artikel ist momentan leider nicht erhältlich. <br>Wir informieren Sie per E-Mail, sobald Ihr Wunschartikel wieder verfügbar ist."
"Insert your email","Ihre E-Mail-Adresse"
"Notify","Benachrichtigen"
"Alert subscription has been saved.","Benachrichtigung wurde gespeichert."
"Thank you! You are already subscribed to this product.","Vielen Dank! Sie werden bereits für dieses Produkt benachrichtigt."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Sie müssen Ihr Konto bestätigen. Bitte prüfen Sie Ihre E-Mail auf den Bestätigungslink oder <a href=""%1"">klicken Sie hier</a> für einen neuen Link."
Search, Suchbegriff
My Customer Account,Mein Kundenkonto
"How do I return an item?","Wie sende ich einen Artikel zurück?"
Return Item,Artikel zurücksenden
Summary,Zusammenfassung
Subtotal,Zwischensumme
Tax,Steuer
"Order Total Incl. Tax","Gesamtbetrag inkl. Steuern"
"Order Total Excl. Tax","Gesamtbetrag exkl. Steuern"
You have no items in your shopping cart.,Sie haben keine Artikel im Warenkorb
Shopping Cart,Warenkorb
"Click <a href=""%1"">here</a> to continue shopping.","Klicken Sie <a href=""%1"">hier</a>, um den Einkauf fortzusetzen."
